Tempo,Corpos,Cores,Movimento,Complexidade
15.468909, 600, 2, 100,Quadratico
15.627118, 600, 2, 100,Quadratico
15.614735, 600, 2, 100,Quadratico
16.430331, 600, 2, 100,Quadratico
15.588851, 600, 2, 100,Quadratico
15.538331, 600, 2, 100,Quadratico
15.544243, 600, 2, 100,Quadratico
15.599671, 600, 2, 100,Quadratico
15.545136, 600, 2, 100,Quadratico
15.571623, 600, 2, 100,Quadratico
15.506111, 600, 2, 100,Quadratico
16.396733, 600, 2, 100,Quadratico
15.512718, 600, 2, 100,Quadratico
15.728896, 600, 2, 100,Quadratico
16.444713, 600, 2, 100,Quadratico
16.367655, 600, 2, 100,Quadratico
16.509102, 600, 2, 100,Quadratico
15.641401, 600, 2, 100,Quadratico
15.610944, 600, 2, 100,Quadratico
16.594661, 600, 2, 100,Quadratico
16.357782, 600, 2, 100,Quadratico
15.549553, 600, 2, 100,Quadratico
15.635928, 600, 2, 100,Quadratico
16.480736, 600, 2, 100,Quadratico
15.717941, 600, 2, 100,Quadratico
16.448807, 600, 2, 100,Quadratico
16.513632, 600, 2, 100,Quadratico
15.610664, 600, 2, 100,Quadratico
16.405598, 600, 2, 100,Quadratico
15.658978, 600, 2, 100,Quadratico
16.462609, 600, 2, 100,Quadratico
16.425267, 600, 2, 100,Quadratico
15.611925, 600, 2, 100,Quadratico
15.545012, 600, 2, 100,Quadratico
15.54332, 600, 2, 100,Quadratico
16.446699, 600, 2, 100,Quadratico
16.466323, 600, 2, 100,Quadratico
16.492486, 600, 2, 100,Quadratico
15.616423, 600, 2, 100,Quadratico
16.339084, 600, 2, 100,Quadratico
16.422219, 600, 2, 100,Quadratico
16.336964, 600, 2, 100,Quadratico
15.521385, 600, 2, 100,Quadratico
15.57428, 600, 2, 100,Quadratico
15.587724, 600, 2, 100,Quadratico
15.630795, 600, 2, 100,Quadratico
16.430965, 600, 2, 100,Quadratico
15.573163, 600, 2, 100,Quadratico
15.698496, 600, 2, 100,Quadratico
15.550647, 600, 2, 100,Quadratico
9.640167, 600, 4, 100,Quadratico
9.677619, 600, 4, 100,Quadratico
9.599717, 600, 4, 100,Quadratico
9.548594, 600, 4, 100,Quadratico
9.638198, 600, 4, 100,Quadratico
9.72532, 600, 4, 100,Quadratico
9.716928, 600, 4, 100,Quadratico
9.673642, 600, 4, 100,Quadratico
9.80355, 600, 4, 100,Quadratico
9.635747, 600, 4, 100,Quadratico
9.74252, 600, 4, 100,Quadratico
9.61389, 600, 4, 100,Quadratico
8.756997, 600, 4, 100,Quadratico
9.605299, 600, 4, 100,Quadratico
9.691325, 600, 4, 100,Quadratico
9.708522, 600, 4, 100,Quadratico
9.670727, 600, 4, 100,Quadratico
9.663129, 600, 4, 100,Quadratico
9.631077, 600, 4, 100,Quadratico
9.623236, 600, 4, 100,Quadratico
10.172072, 600, 4, 100,Quadratico
8.772339, 600, 4, 100,Quadratico
9.618507, 600, 4, 100,Quadratico
9.610974, 600, 4, 100,Quadratico
9.755368, 600, 4, 100,Quadratico
9.688239, 600, 4, 100,Quadratico
9.661607, 600, 4, 100,Quadratico
9.606459, 600, 4, 100,Quadratico
9.616151, 600, 4, 100,Quadratico
9.693138, 600, 4, 100,Quadratico
9.687381, 600, 4, 100,Quadratico
9.703886, 600, 4, 100,Quadratico
9.596636, 600, 4, 100,Quadratico
9.69763, 600, 4, 100,Quadratico
9.927655, 600, 4, 100,Quadratico
9.802198, 600, 4, 100,Quadratico
9.615734, 600, 4, 100,Quadratico
9.605538, 600, 4, 100,Quadratico
9.615735, 600, 4, 100,Quadratico
9.648715, 600, 4, 100,Quadratico
9.692879, 600, 4, 100,Quadratico
9.687804, 600, 4, 100,Quadratico
10.297616, 600, 4, 100,Quadratico
8.69789, 600, 4, 100,Quadratico
9.552409, 600, 4, 100,Quadratico
9.666937, 600, 4, 100,Quadratico
9.697905, 600, 4, 100,Quadratico
9.582115, 600, 4, 100,Quadratico
8.81647, 600, 4, 100,Quadratico
9.784414, 600, 4, 100,Quadratico
6.051015, 600, 8, 100,Quadratico
5.919689, 600, 8, 100,Quadratico
5.921497, 600, 8, 100,Quadratico
5.936755, 600, 8, 100,Quadratico
5.897724, 600, 8, 100,Quadratico
5.844246, 600, 8, 100,Quadratico
5.887666, 600, 8, 100,Quadratico
5.985326, 600, 8, 100,Quadratico
5.838649, 600, 8, 100,Quadratico
6.172991, 600, 8, 100,Quadratico
6.105335, 600, 8, 100,Quadratico
5.875998, 600, 8, 100,Quadratico
5.741789, 600, 8, 100,Quadratico
6.234128, 600, 8, 100,Quadratico
5.85076, 600, 8, 100,Quadratico
5.8123, 600, 8, 100,Quadratico
5.979088, 600, 8, 100,Quadratico
5.869971, 600, 8, 100,Quadratico
5.894853, 600, 8, 100,Quadratico
5.993642, 600, 8, 100,Quadratico
5.924629, 600, 8, 100,Quadratico
5.952221, 600, 8, 100,Quadratico
5.997805, 600, 8, 100,Quadratico
5.93033, 600, 8, 100,Quadratico
5.912087, 600, 8, 100,Quadratico
5.951041, 600, 8, 100,Quadratico
5.995862, 600, 8, 100,Quadratico
5.966838, 600, 8, 100,Quadratico
5.993207, 600, 8, 100,Quadratico
5.811474, 600, 8, 100,Quadratico
5.985003, 600, 8, 100,Quadratico
5.922169, 600, 8, 100,Quadratico
5.986747, 600, 8, 100,Quadratico
5.981015, 600, 8, 100,Quadratico
5.976852, 600, 8, 100,Quadratico
5.964873, 600, 8, 100,Quadratico
6.057162, 600, 8, 100,Quadratico
5.940616, 600, 8, 100,Quadratico
5.911317, 600, 8, 100,Quadratico
5.931268, 600, 8, 100,Quadratico
5.873832, 600, 8, 100,Quadratico
5.852236, 600, 8, 100,Quadratico
5.965063, 600, 8, 100,Quadratico
5.788481, 600, 8, 100,Quadratico
5.873554, 600, 8, 100,Quadratico
6.028526, 600, 8, 100,Quadratico
5.934641, 600, 8, 100,Quadratico
5.970856, 600, 8, 100,Quadratico
5.976998, 600, 8, 100,Quadratico
6.039372, 600, 8, 100,Quadratico
5.362505, 600, 16, 100,Quadratico
5.414398, 600, 16, 100,Quadratico
5.586676, 600, 16, 100,Quadratico
4.665197, 600, 16, 100,Quadratico
5.628189, 600, 16, 100,Quadratico
5.528329, 600, 16, 100,Quadratico
4.747636, 600, 16, 100,Quadratico
5.477041, 600, 16, 100,Quadratico
5.304989, 600, 16, 100,Quadratico
5.393475, 600, 16, 100,Quadratico
5.218252, 600, 16, 100,Quadratico
5.366803, 600, 16, 100,Quadratico
5.349253, 600, 16, 100,Quadratico
4.46252, 600, 16, 100,Quadratico
5.544854, 600, 16, 100,Quadratico
5.348112, 600, 16, 100,Quadratico
5.332978, 600, 16, 100,Quadratico
5.726568, 600, 16, 100,Quadratico
4.510658, 600, 16, 100,Quadratico
5.278416, 600, 16, 100,Quadratico
5.411333, 600, 16, 100,Quadratico
5.53725, 600, 16, 100,Quadratico
4.451828, 600, 16, 100,Quadratico
5.397845, 600, 16, 100,Quadratico
5.263782, 600, 16, 100,Quadratico
5.575867, 600, 16, 100,Quadratico
5.446864, 600, 16, 100,Quadratico
5.720008, 600, 16, 100,Quadratico
5.288671, 600, 16, 100,Quadratico
4.448311, 600, 16, 100,Quadratico
5.197973, 600, 16, 100,Quadratico
5.583147, 600, 16, 100,Quadratico
5.299598, 600, 16, 100,Quadratico
4.472547, 600, 16, 100,Quadratico
5.30313, 600, 16, 100,Quadratico
5.484482, 600, 16, 100,Quadratico
4.466412, 600, 16, 100,Quadratico
5.610606, 600, 16, 100,Quadratico
5.282433, 600, 16, 100,Quadratico
4.462348, 600, 16, 100,Quadratico
5.441524, 600, 16, 100,Quadratico
4.510627, 600, 16, 100,Quadratico
5.377767, 600, 16, 100,Quadratico
5.575847, 600, 16, 100,Quadratico
4.431891, 600, 16, 100,Quadratico
5.353543, 600, 16, 100,Quadratico
5.557608, 600, 16, 100,Quadratico
5.386073, 600, 16, 100,Quadratico
5.414622, 600, 16, 100,Quadratico
5.391791, 600, 16, 100,Quadratico
0.567655, 600, 2, 100,Barnes-Hut
0.502435, 600, 2, 100,Barnes-Hut
0.506022, 600, 2, 100,Barnes-Hut
0.491985, 600, 2, 100,Barnes-Hut
0.589762, 600, 2, 100,Barnes-Hut
0.558856, 600, 2, 100,Barnes-Hut
0.572366, 600, 2, 100,Barnes-Hut
0.591326, 600, 2, 100,Barnes-Hut
0.58635, 600, 2, 100,Barnes-Hut
0.555191, 600, 2, 100,Barnes-Hut
0.563292, 600, 2, 100,Barnes-Hut
0.576958, 600, 2, 100,Barnes-Hut
0.507968, 600, 2, 100,Barnes-Hut
0.584023, 600, 2, 100,Barnes-Hut
0.509092, 600, 2, 100,Barnes-Hut
0.611955, 600, 2, 100,Barnes-Hut
0.513479, 600, 2, 100,Barnes-Hut
0.565424, 600, 2, 100,Barnes-Hut
0.561445, 600, 2, 100,Barnes-Hut
0.584065, 600, 2, 100,Barnes-Hut
0.565032, 600, 2, 100,Barnes-Hut
0.589758, 600, 2, 100,Barnes-Hut
0.519347, 600, 2, 100,Barnes-Hut
0.518121, 600, 2, 100,Barnes-Hut
0.569847, 600, 2, 100,Barnes-Hut
0.551629, 600, 2, 100,Barnes-Hut
0.581648, 600, 2, 100,Barnes-Hut
0.589408, 600, 2, 100,Barnes-Hut
0.564004, 600, 2, 100,Barnes-Hut
0.565633, 600, 2, 100,Barnes-Hut
0.558387, 600, 2, 100,Barnes-Hut
0.587582, 600, 2, 100,Barnes-Hut
0.583919, 600, 2, 100,Barnes-Hut
0.484127, 600, 2, 100,Barnes-Hut
0.562558, 600, 2, 100,Barnes-Hut
0.57732, 600, 2, 100,Barnes-Hut
0.571862, 600, 2, 100,Barnes-Hut
0.572697, 600, 2, 100,Barnes-Hut
0.563637, 600, 2, 100,Barnes-Hut
0.483529, 600, 2, 100,Barnes-Hut
0.513819, 600, 2, 100,Barnes-Hut
0.584134, 600, 2, 100,Barnes-Hut
0.587492, 600, 2, 100,Barnes-Hut
0.509459, 600, 2, 100,Barnes-Hut
0.582224, 600, 2, 100,Barnes-Hut
0.579505, 600, 2, 100,Barnes-Hut
0.564943, 600, 2, 100,Barnes-Hut
0.505715, 600, 2, 100,Barnes-Hut
0.576587, 600, 2, 100,Barnes-Hut
0.501316, 600, 2, 100,Barnes-Hut
0.387789, 600, 4, 100,Barnes-Hut
0.374387, 600, 4, 100,Barnes-Hut
0.378101, 600, 4, 100,Barnes-Hut
0.388374, 600, 4, 100,Barnes-Hut
0.381108, 600, 4, 100,Barnes-Hut
0.396158, 600, 4, 100,Barnes-Hut
0.373588, 600, 4, 100,Barnes-Hut
0.381854, 600, 4, 100,Barnes-Hut
0.386805, 600, 4, 100,Barnes-Hut
0.385867, 600, 4, 100,Barnes-Hut
0.415977, 600, 4, 100,Barnes-Hut
0.383086, 600, 4, 100,Barnes-Hut
0.402857, 600, 4, 100,Barnes-Hut
0.385603, 600, 4, 100,Barnes-Hut
0.387115, 600, 4, 100,Barnes-Hut
0.383676, 600, 4, 100,Barnes-Hut
0.394686, 600, 4, 100,Barnes-Hut
0.38829, 600, 4, 100,Barnes-Hut
0.327854, 600, 4, 100,Barnes-Hut
0.385882, 600, 4, 100,Barnes-Hut
0.388923, 600, 4, 100,Barnes-Hut
0.388085, 600, 4, 100,Barnes-Hut
0.391538, 600, 4, 100,Barnes-Hut
0.385187, 600, 4, 100,Barnes-Hut
0.391269, 600, 4, 100,Barnes-Hut
0.399833, 600, 4, 100,Barnes-Hut
0.395224, 600, 4, 100,Barnes-Hut
0.389985, 600, 4, 100,Barnes-Hut
0.391068, 600, 4, 100,Barnes-Hut
0.384779, 600, 4, 100,Barnes-Hut
0.39396, 600, 4, 100,Barnes-Hut
0.395038, 600, 4, 100,Barnes-Hut
0.387096, 600, 4, 100,Barnes-Hut
0.331479, 600, 4, 100,Barnes-Hut
0.400844, 600, 4, 100,Barnes-Hut
0.390348, 600, 4, 100,Barnes-Hut
0.394139, 600, 4, 100,Barnes-Hut
0.394082, 600, 4, 100,Barnes-Hut
0.40158, 600, 4, 100,Barnes-Hut
0.431283, 600, 4, 100,Barnes-Hut
0.400316, 600, 4, 100,Barnes-Hut
0.449015, 600, 4, 100,Barnes-Hut
0.394394, 600, 4, 100,Barnes-Hut
0.409251, 600, 4, 100,Barnes-Hut
0.407188, 600, 4, 100,Barnes-Hut
0.390705, 600, 4, 100,Barnes-Hut
0.391877, 600, 4, 100,Barnes-Hut
0.405405, 600, 4, 100,Barnes-Hut
0.382891, 600, 4, 100,Barnes-Hut
0.394189, 600, 4, 100,Barnes-Hut
0.313742, 600, 8, 100,Barnes-Hut
0.318165, 600, 8, 100,Barnes-Hut
0.314354, 600, 8, 100,Barnes-Hut
0.309354, 600, 8, 100,Barnes-Hut
0.284561, 600, 8, 100,Barnes-Hut
0.309513, 600, 8, 100,Barnes-Hut
0.313348, 600, 8, 100,Barnes-Hut
0.315523, 600, 8, 100,Barnes-Hut
0.313176, 600, 8, 100,Barnes-Hut
0.317678, 600, 8, 100,Barnes-Hut
0.305617, 600, 8, 100,Barnes-Hut
0.31212, 600, 8, 100,Barnes-Hut
0.295971, 600, 8, 100,Barnes-Hut
0.304666, 600, 8, 100,Barnes-Hut
0.314354, 600, 8, 100,Barnes-Hut
0.300617, 600, 8, 100,Barnes-Hut
0.310194, 600, 8, 100,Barnes-Hut
0.319998, 600, 8, 100,Barnes-Hut
0.305576, 600, 8, 100,Barnes-Hut
0.253191, 600, 8, 100,Barnes-Hut
0.29553, 600, 8, 100,Barnes-Hut
0.303968, 600, 8, 100,Barnes-Hut
0.304941, 600, 8, 100,Barnes-Hut
0.306986, 600, 8, 100,Barnes-Hut
0.292502, 600, 8, 100,Barnes-Hut
0.29708, 600, 8, 100,Barnes-Hut
0.313395, 600, 8, 100,Barnes-Hut
0.286501, 600, 8, 100,Barnes-Hut
0.323811, 600, 8, 100,Barnes-Hut
0.312998, 600, 8, 100,Barnes-Hut
0.323561, 600, 8, 100,Barnes-Hut
0.316255, 600, 8, 100,Barnes-Hut
0.289706, 600, 8, 100,Barnes-Hut
0.318724, 600, 8, 100,Barnes-Hut
0.305047, 600, 8, 100,Barnes-Hut
0.304092, 600, 8, 100,Barnes-Hut
0.313396, 600, 8, 100,Barnes-Hut
0.300058, 600, 8, 100,Barnes-Hut
0.298569, 600, 8, 100,Barnes-Hut
0.303803, 600, 8, 100,Barnes-Hut
0.296222, 600, 8, 100,Barnes-Hut
0.314162, 600, 8, 100,Barnes-Hut
0.298952, 600, 8, 100,Barnes-Hut
0.318455, 600, 8, 100,Barnes-Hut
0.304359, 600, 8, 100,Barnes-Hut
0.313846, 600, 8, 100,Barnes-Hut
0.293764, 600, 8, 100,Barnes-Hut
0.317732, 600, 8, 100,Barnes-Hut
0.343089, 600, 8, 100,Barnes-Hut
0.305043, 600, 8, 100,Barnes-Hut
0.30901, 600, 16, 100,Barnes-Hut
0.323969, 600, 16, 100,Barnes-Hut
0.306893, 600, 16, 100,Barnes-Hut
0.318617, 600, 16, 100,Barnes-Hut
0.321067, 600, 16, 100,Barnes-Hut
0.29719, 600, 16, 100,Barnes-Hut
0.31915, 600, 16, 100,Barnes-Hut
0.315735, 600, 16, 100,Barnes-Hut
0.313434, 600, 16, 100,Barnes-Hut
0.31349, 600, 16, 100,Barnes-Hut
0.314999, 600, 16, 100,Barnes-Hut
0.297205, 600, 16, 100,Barnes-Hut
0.305782, 600, 16, 100,Barnes-Hut
0.311395, 600, 16, 100,Barnes-Hut
0.319532, 600, 16, 100,Barnes-Hut
0.327739, 600, 16, 100,Barnes-Hut
0.2973, 600, 16, 100,Barnes-Hut
0.304635, 600, 16, 100,Barnes-Hut
0.315829, 600, 16, 100,Barnes-Hut
0.301517, 600, 16, 100,Barnes-Hut
0.315927, 600, 16, 100,Barnes-Hut
0.297913, 600, 16, 100,Barnes-Hut
0.311529, 600, 16, 100,Barnes-Hut
0.324101, 600, 16, 100,Barnes-Hut
0.312284, 600, 16, 100,Barnes-Hut
0.314708, 600, 16, 100,Barnes-Hut
0.308513, 600, 16, 100,Barnes-Hut
0.313407, 600, 16, 100,Barnes-Hut
0.314767, 600, 16, 100,Barnes-Hut
0.311942, 600, 16, 100,Barnes-Hut
0.296536, 600, 16, 100,Barnes-Hut
0.321818, 600, 16, 100,Barnes-Hut
0.325112, 600, 16, 100,Barnes-Hut
0.314469, 600, 16, 100,Barnes-Hut
0.306056, 600, 16, 100,Barnes-Hut
0.303146, 600, 16, 100,Barnes-Hut
0.319568, 600, 16, 100,Barnes-Hut
0.32308, 600, 16, 100,Barnes-Hut
0.315744, 600, 16, 100,Barnes-Hut
0.316974, 600, 16, 100,Barnes-Hut
0.321417, 600, 16, 100,Barnes-Hut
0.313767, 600, 16, 100,Barnes-Hut
0.324169, 600, 16, 100,Barnes-Hut
0.32217, 600, 16, 100,Barnes-Hut
0.31597, 600, 16, 100,Barnes-Hut
0.301188, 600, 16, 100,Barnes-Hut
0.304138, 600, 16, 100,Barnes-Hut
0.309232, 600, 16, 100,Barnes-Hut
0.327536, 600, 16, 100,Barnes-Hut
0.314048, 600, 16, 100,Barnes-Hut